City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Hilo,US,2021-12-31 11:42:15,19.7297,-155.09,71.26,88,90,0.0
151,Sicamous,CA,2021-12-31 11:43:44,50.8331,-118.9856,7.11,99,99,3.04
152,Gaozhou,CN,2021-12-31 11:43:45,21.9392,110.8461,65.12,70,75,5.23
153,Puerto Rico,AR,2021-12-31 11:43:45,-26.796,-55.024,79.14,63,23,3.49
154,San Lawrenz,MT,2021-12-31 11:43:46,36.0553,14.204,63.81,65,0,5.23
155,Butaritari,KI,2021-12-31 11:43:46,3.0707,172.7902,80.55,80,83,9.08
156,Bajil,YE,2021-12-31 11:43:47,15.0584,43.2851,88.02,43,89,10.69
157,Kruisfontein,ZA,2021-12-31 11:43:47,-34.0033,24.7314,77.88,48,13,19.77
158,Hirara,JP,2021-12-31 11:43:48,24.8,125.2833,62.87,63,75,12.66
159,Katsuura,JP,2021-12-31 11:43:49,35.1333,140.3,35.71,44,73,16.91
160,Risor,NO,2021-12-31 11:41:58,58.7206,9.2342,36.16,85,100,9.89
161,Kaeo,NZ,2021-12-31 11:43:50,-35.1,173.7833,61.32,84,27,4.25
162,Kailua,US,2021-12-31 11:43:50,21.4022,-157.7394,73.49,77,90,10.36
163,Naze,JP,2021-12-31 11:43:51,28.3667,129.4833,55.94,55,93,15.05
164,Ilulissat,GL,2021-12-31 11:43:51,69.2167,-51.1,19.42,27,100,12.66
165,Along,IN,2021-12-31 11:43:52,28.1667,94.7667,57.4,73,18,2.13
166,Nishihara,JP,2021-12-31 11:43:52,26.1842,127.7558,60.08,63,40,13.8
167,Torbay,CA,2021-12-31 11:43:53,47.6666,-52.7314,26.58,90,90,1.01
168,Makat,KZ,2021-12-31 11:43:53,47.6469,53.3463,30.22,91,88,6.08
169,Salekhard,RU,2021-12-31 11:43:54,66.53,66.6019,-10.19,98,100,5.91
170,Havoysund,NO,2021-12-31 11:43:54,70.9963,24.6622,26.83,60,100,20.8
171,Lebu,CL,2021-12-31 11:43:55,-37.6167,-73.65,56.21,67,1,8.43
172,Ixtapa,MX,2021-12-31 11:43:56,20.7,-105.2,67.23,83,26,2.73
173,Atocha,BO,2021-12-31 11:43:56,-20.9333,-66.2333,51.91,60,10,5.01
174,Chokurdakh,RU,2021-12-31 11:43:57,70.6333,147.9167,-32.35,99,100,2.06
175,Matara,LK,2021-12-31 11:43:57,5.9485,80.5353,81.27,75,42,11.3
176,Nanortalik,GL,2021-12-31 11:43:58,60.1432,-45.2371,21.11,63,59,6.24
177,Isangel,VU,2021-12-31 11:43:58,-19.55,169.2667,79.36,92,100,8.55
178,Carlsbad,US,2021-12-31 11:43:59,33.1581,-117.3506,57.97,85,1,1.01
179,Araouane,ML,2021-12-31 11:43:59,18.9048,-3.5265,81.57,13,0,12.77
180,Rawson,AR,2021-12-31 11:44:00,-43.3002,-65.1023,68.31,28,9,16.84
181,Alugan,PH,2021-12-31 11:44:00,12.2188,125.4808,78.84,76,100,20.56
182,Keokuk,US,2021-12-31 11:45:01,40.3973,-91.3849,36.09,100,90,10.36
183,Nikolskoye,RU,2021-12-31 11:45:01,59.7035,30.7861,34.88,98,100,8.25
184,Atakpame,TG,2021-12-31 11:45:02,7.5333,1.1333,93.4,29,15,4.7
185,Chimoio,MZ,2021-12-31 11:45:03,-19.1164,33.4833,85.95,55,40,8.99
186,Kapit,MY,2021-12-31 11:45:03,2.0167,112.9333,76.71,94,94,1.74
187,Cabot,US,2021-12-31 11:45:04,34.9745,-92.0165,58.77,100,90,5.75
188,Kochki,RU,2021-12-31 11:41:11,54.3358,80.4806,0.05,93,100,6.69
189,Alenquer,BR,2021-12-31 11:45:05,-1.9417,-54.7383,77.34,87,93,2.48
190,Hami,CN,2021-12-31 11:45:05,42.8,93.45,21.47,56,2,2.73
191,Kazachinskoye,RU,2021-12-31 11:45:06,57.6953,93.2761,0.79,95,100,4.23
192,Kaitangata,NZ,2021-12-31 11:45:06,-46.2817,169.8464,62.92,60,95,10.13
193,Shingu,JP,2021-12-31 11:45:07,33.7333,135.9833,40.91,63,5,13.35
194,Mirnyy,RU,2021-12-31 11:42:11,62.5353,113.9611,-4.45,95,100,6.53
195,Karratha,AU,2021-12-31 11:45:09,-20.7377,116.8463,83.48,66,1,12.3
196,Concordia,AR,2021-12-31 11:45:09,-31.393,-58.0209,89.58,28,0,3.76
197,Algiers,DZ,2021-12-31 11:43:50,36.7525,3.042,58.82,63,20,2.3
198,Grand Gaube,MU,2021-12-31 11:45:10,-20.0064,57.6608,82.8,57,42,8.01
199,Saint-Augustin,CA,2021-12-31 11:45:11,51.226,-58.6502,17.58,94,91,3.47
200,Brae,GB,2021-12-31 11:45:11,60.3964,-1.353,46.31,88,87,17.02
201,Yantarnyy,RU,2021-12-31 11:45:12,54.8717,19.9381,44.46,99,100,13.15
202,Davila,PH,2021-12-31 11:45:12,18.4726,120.5763,78.78,75,22,23.42
203,Kumluca,TR,2021-12-31 11:45:13,36.3703,30.2869,57.51,78,100,9.19
204,Richards Bay,ZA,2021-12-31 11:45:13,-28.783,32.0377,69.98,93,95,9.19
205,Hastings,GB,2021-12-31 11:45:01,50.8552,0.5729,56.98,86,97,20.71
206,Ostrovskoye,RU,2021-12-31 11:45:14,57.8057,42.2433,13.78,95,99,7.7
207,Floriano,BR,2021-12-31 11:45:15,-6.7669,-43.0225,76.21,88,95,9.33
208,Adrar,MR,2021-12-31 11:45:15,20.5022,-10.0711,76.77,17,0,15.64
209,Qaanaaq,GL,2021-12-31 11:42:56,77.484,-69.3632,-9.67,68,97,7.07
210,Dehloran,IR,2021-12-31 11:45:17,32.6941,47.2679,59.68,56,99,4.54
211,Dunmore,US,2021-12-31 11:45:17,41.4198,-75.6324,48.56,95,90,1.01
212,Urzhum,RU,2021-12-31 11:45:18,57.1141,49.9996,14.47,95,99,7.56
213,Nehe,CN,2021-12-31 11:45:18,48.4833,124.8333,-20.7,95,7,3.13
214,Tezu,IN,2021-12-31 11:45:19,27.9167,96.1667,61.29,63,2,4.25
215,San Rafael Del Sur,NI,2021-12-31 11:45:19,11.8485,-86.4384,70.77,87,80,5.82
216,Bitung,ID,2021-12-31 11:45:20,1.4451,125.1824,76.05,89,100,9.13
217,Acapulco,MX,2021-12-31 11:45:20,16.8634,-99.8901,71.85,75,2,4.16
218,Itarema,BR,2021-12-31 11:45:21,-2.9248,-39.9167,83.43,66,99,7.34
